Month,Ridership,t,Season
Jan-05,1709,1,Jan
Feb-05,1621,2,Feb
Mar-05,1973,3,Mar
Apr-05,1812,4,Apr
May-05,1975,5,May
Jun-05,1862,6,Jun
Jul-05,1940,7,Jul
Aug-05,2013,8,Aug
Sep-05,1596,9,Sep
Oct-05,1725,10,Oct
Nov-05,1676,11,Nov
Dec-05,1814,12,Dec
Jan-06,1615,13,Jan
Feb-06,1557,14,Feb
Mar-06,1891,15,Mar
Apr-06,1956,16,Apr
May-06,1885,17,May
Jun-06,1623,18,Jun
Jul-06,1903,19,Jul
Aug-06,1997,20,Aug
Sep-06,1704,21,Sep
Oct-06,1810,22,Oct
Nov-06,1862,23,Nov
Dec-06,1875,24,Dec
Jan-07,1705,25,Jan
Feb-07,1619,26,Feb
Mar-07,1837,27,Mar
Apr-07,1957,28,Apr
May-07,1917,29,May
Jun-07,1882,30,Jun
Jul-07,1933,31,Jul
Aug-07,1996,32,Aug
Sep-07,1673,33,Sep
Oct-07,1753,34,Oct
Nov-07,1720,35,Nov
Dec-07,1734,36,Dec
Jan-08,1563,37,Jan
Feb-08,1574,38,Feb
Mar-08,1903,39,Mar
Apr-08,1834,40,Apr
May-08,1831,41,May
Jun-08,1776,42,Jun
Jul-08,1868,43,Jul
Aug-08,1907,44,Aug
Sep-08,1686,45,Sep
Oct-08,1779,46,Oct
Nov-08,1776,47,Nov
Dec-08,1783,48,Dec
Jan-09,1548,49,Jan
Feb-09,1497,50,Feb
Mar-09,1798,51,Mar
Apr-09,1733,52,Apr
May-09,1772,53,May
Jun-09,1761,54,Jun
Jul-09,1792,55,Jul
Aug-09,1875,56,Aug
Sep-09,1571,57,Sep
Oct-09,1647,58,Oct
Nov-09,1673,59,Nov
Dec-09,1657,60,Dec
Jan-10,1382,61,Jan
Feb-10,1361,62,Feb
Mar-10,1559,63,Mar
Apr-10,1608,64,Apr
May-10,1697,65,May
Jun-10,1693,66,Jun
Jul-10,1836,67,Jul
Aug-10,1943,68,Aug
Sep-10,1551,69,Sep
Oct-10,1687,70,Oct
Nov-10,1576,71,Nov
Dec-10,1700,72,Dec
Jan-11,1397,73,Jan
Feb-11,1372,74,Feb
Mar-11,1708,75,Mar
Apr-11,1655,76,Apr
May-11,1763,77,May
Jun-11,1776,78,Jun
Jul-11,1934,79,Jul
Aug-11,2008,80,Aug
Sep-11,1616,81,Sep
Oct-11,1774,82,Oct
Nov-11,1732,83,Nov
Dec-11,1797,84,Dec
Jan-12,1570,85,Jan
Feb-12,1413,86,Feb
Mar-12,1755,87,Mar
Apr-12,1825,88,Apr
May-12,1843,89,May
Jun-12,1826,90,Jun
Jul-12,1968,91,Jul
Aug-12,1922,92,Aug
Sep-12,1670,93,Sep
Oct-12,1791,94,Oct
Nov-12,1817,95,Nov
Dec-12,1847,96,Dec
Jan-13,1599,97,Jan
Feb-13,1549,98,Feb
Mar-13,1832,99,Mar
Apr-13,1840,100,Apr
May-13,1846,101,May
Jun-13,1865,102,Jun
Jul-13,1966,103,Jul
Aug-13,1949,104,Aug
Sep-13,1607,105,Sep
Oct-13,1804,106,Oct
Nov-13,1850,107,Nov
Dec-13,1836,108,Dec
Jan-14,1542,109,Jan
Feb-14,1617,110,Feb
Mar-14,1920,111,Mar
Apr-14,1971,112,Apr
May-14,1992,113,May
Jun-14,2010,114,Jun
Jul-14,2054,115,Jul
Aug-14,2097,116,Aug
Sep-14,1824,117,Sep
Oct-14,1977,118,Oct
Nov-14,1981,119,Nov
Dec-14,2000,120,Dec
Jan-15,1683,121,Jan
Feb-15,1663,122,Feb
Mar-15,2008,123,Mar
Apr-15,2024,124,Apr
May-15,2047,125,May
Jun-15,2073,126,Jun
Jul-15,2127,126,Jul
Aug-15,2203,128,Aug
Sep-15,1708,129,Sep
Oct-15,1951,130,Oct
Nov-15,1974,131,Nov
Dec-15,1985,132,Dec
Jan-16,1760,133,Jan
Feb-16,1771,134,Feb
Mar-16,2020,134,Mar
Apr-16,2048,136,Apr
May-16,2069,137,May
Jun-16,1994,138,Jun
Jul-16,2075,139,Jul
Aug-16,2027,140,Aug
Sep-16,1734,141,Sep
Oct-16,1917,142,Oct
Nov-16,1858,143,Nov
Dec-16,1996,144,Dec
Jan-17,1778,145,Jan
Feb-17,1749,146,Feb
Mar-17,2066,147,Mar
Apr-17,2099,148,Apr
May-17,2105,149,May
Jun-17,2130,150,Jun
Jul-17,2223,151,Jul
Aug-17,2174,152,Aug
Sep-17,1931,153,Sep
Oct-17,2121,154,Oct
Nov-17,2076,155,Nov
Dec-17,2141,156,Dec
Jan-18,1832,157,Jan
Feb-18,1838,158,Feb
Mar-18,2132,159,Mar
